date,hits,keyword,geo,time,gprop,category
2017 Jan,10,electric car,US,2004-01-01 2026-08-31,web,0
2017 Feb,10,electric car,US,2004-01-01 2026-08-31,web,0
2017 Mar,10,electric car,US,2004-01-01 2026-08-31,web,0
2017 Apr,11,electric car,US,2004-01-01 2026-08-31,web,0
2017 May,11,electric car,US,2004-01-01 2026-08-31,web,0
2017 Jun,11,electric car,US,2004-01-01 2026-08-31,web,0
2017 Jul,13,electric car,US,2004-01-01 2026-08-31,web,0
2017 Aug,12,electric car,US,2004-01-01 2026-08-31,web,0
2017 Sep,12,electric car,US,2004-01-01 2026-08-31,web,0
2017 Oct,13,electric car,US,2004-01-01 2026-08-31,web,0
2017 Nov,14,electric car,US,2004-01-01 2026-08-31,web,0
2017 Dec,14,electric car,US,2004-01-01 2026-08-31,web,0
2018 Jan,12,electric car,US,2004-01-01 2026-08-31,web,0
2018 Feb,12,electric car,US,2004-01-01 2026-08-31,web,0
2018 Mar,12,electric car,US,2004-01-01 2026-08-31,web,0
2018 Apr,13,electric car,US,2004-01-01 2026-08-31,web,0
2018 May,13,electric car,US,2004-01-01 2026-08-31,web,0
2018 Jun,12,electric car,US,2004-01-01 2026-08-31,web,0
2018 Jul,12,electric car,US,2004-01-01 2026-08-31,web,0
2018 Aug,13,electric car,US,2004-01-01 2026-08-31,web,0
2018 Sep,15,electric car,US,2004-01-01 2026-08-31,web,0
2018 Oct,14,electric car,US,2004-01-01 2026-08-31,web,0
2018 Nov,14,electric car,US,2004-01-01 2026-08-31,web,0
2018 Dec,16,electric car,US,2004-01-01 2026-08-31,web,0
2019 Jan,13,electric car,US,2004-01-01 2026-08-31,web,0
2019 Feb,15,electric car,US,2004-01-01 2026-08-31,web,0
2019 Mar,15,electric car,US,2004-01-01 2026-08-31,web,0
2019 Apr,17,electric car,US,2004-01-01 2026-08-31,web,0
2019 May,18,electric car,US,2004-01-01 2026-08-31,web,0
2019 Jun,16,electric car,US,2004-01-01 2026-08-31,web,0
2019 Jul,16,electric car,US,2004-01-01 2026-08-31,web,0
2019 Aug,15,electric car,US,2004-01-01 2026-08-31,web,0
2019 Sep,16,electric car,US,2004-01-01 2026-08-31,web,0
2019 Oct,16,electric car,US,2004-01-01 2026-08-31,web,0
2019 Nov,18,electric car,US,2004-01-01 2026-08-31,web,0
2019 Dec,16,electric car,US,2004-01-01 2026-08-31,web,0
2020 Jan,16,electric car,US,2004-01-01 2026-08-31,web,0
2020 Feb,17,electric car,US,2004-01-01 2026-08-31,web,0
2020 Mar,11,electric car,US,2004-01-01 2026-08-31,web,0
2020 Apr,11,electric car,US,2004-01-01 2026-08-31,web,0
2020 May,12,electric car,US,2004-01-01 2026-08-31,web,0
2020 Jun,14,electric car,US,2004-01-01 2026-08-31,web,0
2020 Jul,16,electric car,US,2004-01-01 2026-08-31,web,0
2020 Aug,15,electric car,US,2004-01-01 2026-08-31,web,0
2020 Sep,17,electric car,US,2004-01-01 2026-08-31,web,0
2020 Oct,18,electric car,US,2004-01-01 2026-08-31,web,0
2020 Nov,18,electric car,US,2004-01-01 2026-08-31,web,0
2020 Dec,19,electric car,US,2004-01-01 2026-08-31,web,0
2021 Jan,22,electric car,US,2004-01-01 2026-08-31,web,0
2021 Feb,26,electric car,US,2004-01-01 2026-08-31,web,0
2021 Mar,23,electric car,US,2004-01-01 2026-08-31,web,0
2021 Apr,26,electric car,US,2004-01-01 2026-08-31,web,0
2021 May,30,electric car,US,2004-01-01 2026-08-31,web,0
2021 Jun,30,electric car,US,2004-01-01 2026-08-31,web,0
2021 Jul,26,electric car,US,2004-01-01 2026-08-31,web,0
2021 Aug,26,electric car,US,2004-01-01 2026-08-31,web,0
2021 Sep,24,electric car,US,2004-01-01 2026-08-31,web,0
2021 Oct,28,electric car,US,2004-01-01 2026-08-31,web,0
2021 Nov,34,electric car,US,2004-01-01 2026-08-31,web,0
2021 Dec,29,electric car,US,2004-01-01 2026-08-31,web,0
2022 Jan,29,electric car,US,2004-01-01 2026-08-31,web,0
2022 Feb,35,electric car,US,2004-01-01 2026-08-31,web,0
2022 Mar,59,electric car,US,2004-01-01 2026-08-31,web,0
2022 Apr,44,electric car,US,2004-01-01 2026-08-31,web,0
2022 May,39,electric car,US,2004-01-01 2026-08-31,web,0
2022 Jun,49,electric car,US,2004-01-01 2026-08-31,web,0
2022 Jul,41,electric car,US,2004-01-01 2026-08-31,web,0
2022 Aug,41,electric car,US,2004-01-01 2026-08-31,web,0
2022 Sep,36,electric car,US,2004-01-01 2026-08-31,web,0
2022 Oct,31,electric car,US,2004-01-01 2026-08-31,web,0
2022 Nov,28,electric car,US,2004-01-01 2026-08-31,web,0
2022 Dec,28,electric car,US,2004-01-01 2026-08-31,web,0
2023 Jan,30,electric car,US,2004-01-01 2026-08-31,web,0
2023 Feb,30,electric car,US,2004-01-01 2026-08-31,web,0
2023 Mar,26,electric car,US,2004-01-01 2026-08-31,web,0
2023 Apr,29,electric car,US,2004-01-01 2026-08-31,web,0
2023 May,28,electric car,US,2004-01-01 2026-08-31,web,0
2023 Jun,30,electric car,US,2004-01-01 2026-08-31,web,0
2023 Jul,28,electric car,US,2004-01-01 2026-08-31,web,0
2023 Aug,26,electric car,US,2004-01-01 2026-08-31,web,0
2023 Sep,28,electric car,US,2004-01-01 2026-08-31,web,0
2023 Oct,27,electric car,US,2004-01-01 2026-08-31,web,0
2023 Nov,26,electric car,US,2004-01-01 2026-08-31,web,0
2023 Dec,26,electric car,US,2004-01-01 2026-08-31,web,0
